text,label
"I love this product",1
"This is terrible",0
"Absolutely fantastic experience",1
"I will never buy this again",0
"Great service and friendly staff",1
"The quality is awful",0
"Really enjoyed using this",1
"This was a huge disappointment",0
"Amazing performance overall",1
"The item broke on the first day",0
"I am very satisfied",1
"Totally not worth the money",0
"Highly recommend this to everyone",1
"I regret buying this",0
"Best purchase I’ve made this year",1
"The worst product I’ve ever used",0
"Super useful and reliable",1
"It failed to work as expected",0
"Five stars from me",1
"This made me very upset",0
"I’m impressed with the results",1
"Terrible build quality",0
"Exceptional value for the price",1
"I feel cheated",0
"Wonderful design and features",1
"It stopped working suddenly",0
"Very helpful and easy to use",1
"Completely useless",0
"Absolutely loved it",1
"A frustrating experience overall",0
"Exceeded my expectations",1
"Not recommended at all",0
"Brilliant and well-made",1
"This gave me so many issues",0
"Perfect for everyday use",1
"I am not happy with this",0
"Top-notch experience",1
"Terribly slow and buggy",0
"Really good purchase",1
"Disappointing quality",0
"Highly satisfied with the item",1
"It did not meet my expectations",0
"Fantastic build and performance",1
"Very poor results",0
"Super happy with this",1
"Bad experience overall",0
"Works flawlessly",1
"I hated the entire experience",0
